ID,R,G,B
1,0,0,0
2,0,0,28
3,0,0,56
4,0,0,84
5,0,0,112
6,0,0,140
7,0,0,168
8,0,0,196
9,0,0,224
10,0,0,252
11,0,28,0
12,0,28,28
13,0,28,56
14,0,28,84
15,0,28,112
16,0,28,140
17,0,28,168
18,0,28,196
19,0,28,224
20,0,28,252
21,0,56,0
22,0,56,28
23,0,56,56
24,0,56,84
25,0,56,112
26,0,56,140
27,0,56,168
28,0,56,196
29,0,56,224
30,0,56,252
31,0,84,0
32,0,84,28
33,0,84,56
34,0,84,84
35,0,84,112
36,0,84,140
37,0,84,168
38,0,84,196
39,0,84,224
40,0,84,252
41,0,112,0
42,0,112,28
43,0,112,56
44,0,112,84
45,0,112,112
46,0,112,140
47,0,112,168
48,0,112,196
49,0,112,224
50,0,112,252
51,0,140,0
52,0,140,28
53,0,140,56
54,0,140,84
55,0,140,112
56,0,140,140
57,0,140,168
58,0,140,196
59,0,140,224
60,0,140,252
61,0,168,0
62,0,168,28
63,0,168,56
64,0,168,84
65,0,168,112
66,0,168,140
67,0,168,168
68,0,168,196
69,0,168,224
70,0,168,252
71,0,196,0
72,0,196,28
73,0,196,56
74,0,196,84
75,0,196,112
76,0,196,140
77,0,196,168
78,0,196,196
79,0,196,224
80,0,196,252
81,0,224,0
82,0,224,28
83,0,224,56
84,0,224,84
85,0,224,112
86,0,224,140
87,0,224,168
88,0,224,196
89,0,224,224
90,0,224,252
91,0,252,0
92,0,252,28
93,0,252,56
94,0,252,84
95,0,252,112
96,0,252,140
97,0,252,168
98,0,252,196
99,0,252,224
100,0,252,252
101,18,0,0
102,18,0,28
103,18,0,56
104,18,0,84
105,18,0,112
106,18,0,140
107,18,0,168
108,18,0,196
109,18,0,224
110,18,0,252
111,18,28,0
112,18,28,28
113,18,28,56
114,18,28,84
115,18,28,112
116,18,28,140
117,18,28,168
118,18,28,196
119,18,28,224
120,18,28,252
121,18,56,0
122,18,56,28
123,18,56,56
124,18,56,84
125,18,56,112
126,18,56,140
127,18,56,168
128,18,56,196
129,18,56,224
130,18,56,252
131,18,84,0
132,18,84,28
133,18,84,56
134,18,84,84
135,18,84,112
136,18,84,140
137,18,84,168
138,18,84,196
139,18,84,224
140,18,84,252
141,18,112,0
142,18,112,28
143,18,112,56
144,18,112,84
145,18,112,112
146,18,112,140
147,18,112,168
148,18,112,196
149,18,112,224
150,18,112,252
151,18,140,0
152,18,140,28
153,18,140,56
154,18,140,84
155,18,140,112
156,18,140,140
157,18,140,168
158,18,140,196
159,18,140,224
160,18,140,252
161,18,168,0
162,18,168,28
163,18,168,56
164,18,168,84
165,18,168,112
166,18,168,140
167,18,168,168
168,18,168,196
169,18,168,224
170,18,168,252
171,18,196,0
172,18,196,28
173,18,196,56
174,18,196,84
175,18,196,112
176,18,196,140
177,18,196,168
178,18,196,196
179,18,196,224
180,18,196,252
181,18,224,0
182,18,224,28
183,18,224,56
184,18,224,84
185,18,224,112
186,18,224,140
187,18,224,168
188,18,224,196
189,18,224,224
190,18,224,252
191,18,252,0
192,18,252,28
193,18,252,56
194,18,252,84
195,18,252,112
196,18,252,140
197,18,252,168
198,18,252,196
199,18,252,224
200,18,252,252
201,36,0,0
202,36,0,28
203,36,0,56
204,36,0,84
205,36,0,112
206,36,0,140
207,36,0,168
208,36,0,196
209,36,0,224
210,36,0,252
211,36,28,0
212,36,28,28
213,36,28,56
214,36,28,84
215,36,28,112
216,36,28,140
217,36,28,168
218,36,28,196
219,36,28,224
220,36,28,252
221,36,56,0
222,36,56,28
223,36,56,56
224,36,56,84
225,36,56,112
226,36,56,140
227,36,56,168
228,36,56,196
229,36,56,224
230,36,56,252
231,36,84,0
232,36,84,28
233,36,84,56
234,36,84,84
235,36,84,112
236,36,84,140
237,36,84,168
238,36,84,196
239,36,84,224
240,36,84,252
241,36,112,0
242,36,112,28
243,36,112,56
244,36,112,84
245,36,112,112
246,36,112,140
247,36,112,168
248,36,112,196
249,36,112,224
250,36,112,252
251,36,140,0
252,36,140,28
253,36,140,56
254,36,140,84
255,36,140,112
256,36,140,140
257,36,140,168
258,36,140,196
259,36,140,224
260,36,140,252
261,36,168,0
262,36,168,28
263,36,168,56
264,36,168,84
265,36,168,112
266,36,168,140
267,36,168,168
268,36,168,196
269,36,168,224
270,36,168,252
271,36,196,0
272,36,196,28
273,36,196,56
274,36,196,84
275,36,196,112
276,36,196,140
277,36,196,168
278,36,196,196
279,36,196,224
280,36,196,252
281,36,224,0
282,36,224,28
283,36,224,56
284,36,224,84
285,36,224,112
286,36,224,140
287,36,224,168
288,36,224,196
289,36,224,224
290,36,224,252
291,36,252,0
292,36,252,28
293,36,252,56
294,36,252,84
295,36,252,112
296,36,252,140
297,36,252,168
298,36,252,196
299,36,252,224
300,36,252,252
301,55,0,0
302,55,0,28
303,55,0,56
304,55,0,84
305,55,0,112
306,55,0,140
307,55,0,168
308,55,0,196
309,55,0,224
310,55,0,252
311,55,28,0
312,55,28,28
313,55,28,56
314,55,28,84
315,55,28,112
316,55,28,140
317,55,28,168
318,55,28,196
319,55,28,224
320,55,28,252
321,55,56,0
322,55,56,28
323,55,56,56
324,55,56,84
325,55,56,112
326,55,56,140
327,55,56,168
328,55,56,196
329,55,56,224
330,55,56,252
331,55,84,0
332,55,84,28
333,55,84,56
334,55,84,84
335,55,84,112
336,55,84,140
337,55,84,168
338,55,84,196
339,55,84,224
340,55,84,252
341,55,112,0
342,55,112,28
343,55,112,56
344,55,112,84
345,55,112,112
346,55,112,140
347,55,112,168
348,55,112,196
349,55,112,224
350,55,112,252
351,55,140,0
352,55,140,28
353,55,140,56
354,55,140,84
355,55,140,112
356,55,140,140
357,55,140,168
358,55,140,196
359,55,140,224
360,55,140,252
361,55,168,0
362,55,168,28
363,55,168,56
364,55,168,84
365,55,168,112
366,55,168,140
367,55,168,168
368,55,168,196
369,55,168,224
370,55,168,252
371,55,196,0
372,55,196,28
373,55,196,56
374,55,196,84
375,55,196,112
376,55,196,140
377,55,196,168
378,55,196,196
379,55,196,224
380,55,196,252
381,55,224,0
382,55,224,28
383,55,224,56
384,55,224,84
385,55,224,112
386,55,224,140
387,55,224,168
388,55,224,196
389,55,224,224
390,55,224,252
391,55,252,0
392,55,252,28
393,55,252,56
394,55,252,84
395,55,252,112
396,55,252,140
397,55,252,168
398,55,252,196
399,55,252,224
400,55,252,252
401,73,0,0
402,73,0,28
403,73,0,56
404,73,0,84
405,73,0,112
406,73,0,140
407,73,0,168
408,73,0,196
409,73,0,224
410,73,0,252
411,73,28,0
412,73,28,28
413,73,28,56
414,73,28,84
415,73,28,112
416,73,28,140
417,73,28,168
418,73,28,196
419,73,28,224
420,73,28,252
421,73,56,0
422,73,56,28
423,73,56,56
424,73,56,84
425,73,56,112
426,73,56,140
427,73,56,168
428,73,56,196
429,73,56,224
430,73,56,252
431,73,84,0
432,73,84,28
433,73,84,56
434,73,84,84
435,73,84,112
436,73,84,140
437,73,84,168
438,73,84,196
439,73,84,224
440,73,84,252
441,73,112,0
442,73,112,28
443,73,112,56
444,73,112,84
445,73,112,112
446,73,112,140
447,73,112,168
448,73,112,196
449,73,112,224
450,73,112,252
